Investor Name,Investory Type,Investor Country,Investor Date Added,Investor Last Updated,Commitment Asset Class,Commitment Amount,Commitment Currency
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Infrastructure,15000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Infrastructure,31000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Hedge Funds,58000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Equity,72000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Natural Resources,1000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,17000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,83000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Hedge Funds,28000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Hedge Funds,85000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Hedge Funds,31000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Private Equity,45000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Real Estate,48000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,45000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,12000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,30000000,GBP
